step,tag,episode,reward,avg10,algo,env,seed
18,reward,1,6.673254122156161,6.673,PPO,Walker2d-v4,0
37,reward,2,-7.204269148774147,-0.266,PPO,Walker2d-v4,0
57,reward,3,5.135965116617338,1.535,PPO,Walker2d-v4,0
84,reward,4,-5.791215020237097,-0.297,PPO,Walker2d-v4,0
103,reward,5,0.5624957334708849,-0.125,PPO,Walker2d-v4,0
124,reward,6,2.6935771067833203,0.345,PPO,Walker2d-v4,0
155,reward,7,7.204423215311328,1.325,PPO,Walker2d-v4,0
164,reward,8,-2.4010973790241112,0.859,PPO,Walker2d-v4,0
177,reward,9,-0.3656384786653496,0.723,PPO,Walker2d-v4,0
186,reward,10,-0.25051232495493214,0.626,PPO,Walker2d-v4,0
203,reward,11,3.048810882251928,0.263,PPO,Walker2d-v4,0
242,reward,12,-4.404227745321666,0.543,PPO,Walker2d-v4,0
276,reward,13,-4.911303506242155,-0.461,PPO,Walker2d-v4,0
302,reward,14,4.6947479150795814,0.587,PPO,Walker2d-v4,0
325,reward,15,3.6830272138262705,0.899,PPO,Walker2d-v4,0
344,reward,16,1.565789732335534,0.786,PPO,Walker2d-v4,0
383,reward,17,13.117492005193602,1.378,PPO,Walker2d-v4,0
416,reward,18,11.302633570307332,2.748,PPO,Walker2d-v4,0
446,reward,19,6.946595803879015,3.479,PPO,Walker2d-v4,0
463,reward,20,2.729040335565508,3.777,PPO,Walker2d-v4,0
477,reward,21,3.002887807545785,3.773,PPO,Walker2d-v4,0
511,reward,22,-7.3794401937335765,3.475,PPO,Walker2d-v4,0
535,reward,23,-5.37143592871194,3.429,PPO,Walker2d-v4,0
557,reward,24,-1.4359799506183994,2.816,PPO,Walker2d-v4,0
593,reward,25,8.205945037742268,3.268,PPO,Walker2d-v4,0
621,reward,26,11.353250678896885,4.247,PPO,Walker2d-v4,0
636,reward,27,-6.629559178985927,2.272,PPO,Walker2d-v4,0
646,reward,28,-0.6289858468529315,1.079,PPO,Walker2d-v4,0
661,reward,29,2.297949760349632,0.614,PPO,Walker2d-v4,0
675,reward,30,0.171449981741584,0.359,PPO,Walker2d-v4,0
703,reward,31,3.4358147941360335,0.402,PPO,Walker2d-v4,0
714,reward,32,-4.190202390362337,0.721,PPO,Walker2d-v4,0
725,reward,33,-1.7696931931116282,1.081,PPO,Walker2d-v4,0
744,reward,34,-0.5575385977057898,1.169,PPO,Walker2d-v4,0
753,reward,35,-3.3136626934079647,0.017,PPO,Walker2d-v4,0
786,reward,36,1.4432811058886283,-0.974,PPO,Walker2d-v4,0
813,reward,37,8.23610193066336,0.512,PPO,Walker2d-v4,0
834,reward,38,-6.750812683924945,-0.1,PPO,Walker2d-v4,0
850,reward,39,-1.575989776963872,-0.487,PPO,Walker2d-v4,0
865,reward,40,0.17897862706613787,-0.486,PPO,Walker2d-v4,0
891,reward,41,-1.075909825927307,-0.938,PPO,Walker2d-v4,0
917,reward,42,5.916401709839181,0.073,PPO,Walker2d-v4,0
939,reward,43,-1.027082661103437,0.147,PPO,Walker2d-v4,0
964,reward,44,3.135302642785044,0.517,PPO,Walker2d-v4,0
980,reward,45,2.342743729786691,1.082,PPO,Walker2d-v4,0
990,reward,46,-3.1148789012148264,0.626,PPO,Walker2d-v4,0
1000,reward,47,-2.847547479031637,-0.482,PPO,Walker2d-v4,0
1014,reward,48,-6.127389213883004,-0.42,PPO,Walker2d-v4,0
1043,reward,49,10.970848511538533,0.835,PPO,Walker2d-v4,0
1054,reward,50,-3.1327230843616327,0.504,PPO,Walker2d-v4,0
1069,reward,51,3.1542963677746076,0.927,PPO,Walker2d-v4,0
1083,reward,52,-0.2684199506556906,0.309,PPO,Walker2d-v4,0
1105,reward,53,9.612258040103358,1.372,PPO,Walker2d-v4,0
1126,reward,54,-1.865077928076035,0.872,PPO,Walker2d-v4,0
1142,reward,55,-0.7794615897655659,0.56,PPO,Walker2d-v4,0
1200,reward,56,18.422335185083245,2.714,PPO,Walker2d-v4,0
1212,reward,57,-2.411353655528287,2.758,PPO,Walker2d-v4,0
1253,reward,58,-5.973933805793703,2.773,PPO,Walker2d-v4,0
1262,reward,59,-2.052742119366406,1.471,PPO,Walker2d-v4,0
1275,reward,60,-6.599900027750796,1.124,PPO,Walker2d-v4,0
1308,reward,61,7.554161468341331,1.564,PPO,Walker2d-v4,0
1327,reward,62,-0.8005319205078831,1.511,PPO,Walker2d-v4,0
1351,reward,63,8.039368205944669,1.353,PPO,Walker2d-v4,0
1363,reward,64,1.3563431804176023,1.675,PPO,Walker2d-v4,0
1374,reward,65,0.5144024154729918,1.805,PPO,Walker2d-v4,0
1395,reward,66,1.7499147711898548,0.138,PPO,Walker2d-v4,0
1406,reward,67,-0.9910790813157782,0.28,PPO,Walker2d-v4,0
1418,reward,68,2.432008102288026,1.12,PPO,Walker2d-v4,0
1447,reward,69,2.62702227722967,1.588,PPO,Walker2d-v4,0
1466,reward,70,5.795045195524241,2.828,PPO,Walker2d-v4,0
1479,reward,71,-5.556539881960239,1.517,PPO,Walker2d-v4,0
1495,reward,72,5.271859141819192,2.124,PPO,Walker2d-v4,0
1532,reward,73,9.643760607116615,2.284,PPO,Walker2d-v4,0
1556,reward,74,7.800040804847693,2.929,PPO,Walker2d-v4,0
1582,reward,75,5.309539107213475,3.408,PPO,Walker2d-v4,0
1605,reward,76,-2.275266626933791,3.006,PPO,Walker2d-v4,0
1619,reward,77,-0.48002933298319994,3.057,PPO,Walker2d-v4,0
1634,reward,78,-1.834482933636578,2.63,PPO,Walker2d-v4,0
1647,reward,79,0.42107407265104224,2.41,PPO,Walker2d-v4,0
1679,reward,80,1.6629158916205502,1.996,PPO,Walker2d-v4,0
1689,reward,81,-1.2718142232730965,2.425,PPO,Walker2d-v4,0
1702,reward,82,-1.1517528932254328,1.782,PPO,Walker2d-v4,0
1718,reward,83,-1.1314661322874038,0.705,PPO,Walker2d-v4,0
1744,reward,84,7.817927992714922,0.707,PPO,Walker2d-v4,0
1758,reward,85,0.021000707396071072,0.178,PPO,Walker2d-v4,0
1775,reward,86,-12.728997223986887,-0.868,PPO,Walker2d-v4,0
1816,reward,87,12.044880381743884,0.385,PPO,Walker2d-v4,0
1828,reward,88,-0.6815191428479725,0.5,PPO,Walker2d-v4,0
1841,reward,89,-5.64911827145986,-0.107,PPO,Walker2d-v4,0
1851,reward,90,-0.2562136603086069,-0.299,PPO,Walker2d-v4,0
1870,reward,91,1.226465026280811,-0.049,PPO,Walker2d-v4,0
1905,reward,92,18.68629525611635,1.935,PPO,Walker2d-v4,0
1922,reward,93,-4.092951409593814,1.639,PPO,Walker2d-v4,0
1944,reward,94,2.807199159540624,1.138,PPO,Walker2d-v4,0
1966,reward,95,4.195406627970982,1.555,PPO,Walker2d-v4,0
1979,reward,96,-6.833576422037367,2.145,PPO,Walker2d-v4,0
2000,reward,97,-6.020671649022802,0.338,PPO,Walker2d-v4,0
2023,reward,98,-12.525671445308527,-0.846,PPO,Walker2d-v4,0
2048,reward,99,8.515566397224198,0.57,PPO,Walker2d-v4,0
2071,reward,100,-9.350377036786375,-0.339,PPO,Walker2d-v4,0
2097,reward,101,-5.705808558411243,-1.032,PPO,Walker2d-v4,0
2118,reward,102,3.2873048237796345,-2.572,PPO,Walker2d-v4,0
2131,reward,103,-1.4414214911929748,-2.307,PPO,Walker2d-v4,0
